state,revenue,orders_count,customer_count,avg_order_value,lat,lng
AC,15982.95,81,77,173.72771739130437,-9.96204619900166,-67.83063844823705
AL,80518.77,413,401,178.9306,-9.636913875382303,-35.7540525
AM,22412.74,148,143,134.20802395209583,-3.0897041158423555,-60.01199792346642
AP,13474.3,68,67,164.32073170731707,0.031212191797078,-51.07432880296869
BA,513182.78,3380,3277,133.6065555844832,-12.956328112932813,-38.95769700000001
CE,227931.6,1336,1313,152.7691689008043,-3.789733594090806,-38.58516158878826
DF,304658.17,2140,2075,124.45186683006536,-15.817696084728826,-47.939321871464934
ES,275910.68,2033,1964,121.17289415898111,-20.29449467751298,-40.32078525
GO,297535.49,2020,1952,125.75464497041419,-16.68292935350643,-49.26568051004018
MA,119844.1,747,726,143.3541866028708,-3.2880628461936268,-44.29828814141035
MG,1591518.47,11635,11259,119.65404631230734,-19.921030742166266,-43.979364565641404
MS,118217.71,715,694,141.23979689366786,-20.482335,-54.61425123838669
MT,156741.23,907,876,147.5906120527307,-15.244523809807305,-56.03918856094813
PA,179429.86000000002,975,949,164.3130586080586,-1.46283283236194,-48.48418751817764
PB,115357.98,536,519,190.04609555189455,-7.125067308460162,-35.488819417412614
PE,263801.64,1652,1609,144.7868496158068,-8.081399510670263,-34.95330505995726
PI,86974.08,495,482,159.58546788990827,-5.099470496630321,-42.76311749999999
PR,685911.51,5045,4882,118.03674238513165,-25.38405848736229,-50.61809725669544
RJ,1831678.85,12852,12384,124.11430071825451,-22.87446557974464,-43.24204955661036
RN,83088.29,485,474,155.59604868913857,-5.8353840838190365,-35.263536750000014
RO,46140.64,253,240,162.46704225352113,-10.431415596800106,-63.021605336694336
RR,7829.43,46,45,150.56596153846155,2.82302598996181,-60.698430787880675
RS,754250.33,5466,5277,119.32452618256605,-29.795425471696767,-51.249408324399
SC,522120.11,3637,3534,123.84253083491461,-27.099249961841394,-49.03505751283603
SE,58920.85,350,342,151.07910256410256,-10.927160765297494,-37.07137233919993
SP,5228869.17,41746,40302,108.72412138980725,-23.525004489035727,-46.68772019224312
TO,49621.74,280,273,157.0308227848101,-10.181895570656742,-48.32696518501806
