state,total_revenue,orders,customers,avg_order_value
AC,15982.95,81,77,173.72771739130437
AL,80518.77,413,401,178.9306
AM,22412.74,148,143,134.20802395209583
AP,13474.3,68,67,164.32073170731707
BA,513182.78,3380,3277,133.6065555844832
CE,227931.6,1336,1313,152.7691689008043
DF,304658.17,2140,2075,124.45186683006536
ES,275910.68,2033,1964,121.17289415898111
GO,297535.49,2020,1952,125.75464497041419
MA,119844.1,747,726,143.3541866028708
MG,1591518.47,11635,11259,119.65404631230734
MS,118217.71,715,694,141.23979689366786
MT,156741.23,907,876,147.5906120527307
PA,179429.86000000002,975,949,164.3130586080586
PB,115357.98,536,519,190.04609555189455
PE,263801.64,1652,1609,144.7868496158068
PI,86974.08,495,482,159.58546788990827
PR,685911.51,5045,4882,118.03674238513165
RJ,1831678.85,12852,12384,124.11430071825451
RN,83088.29,485,474,155.59604868913857
RO,46140.64,253,240,162.46704225352113
RR,7829.43,46,45,150.56596153846155
RS,754250.33,5466,5277,119.32452618256605
SC,522120.11,3637,3534,123.84253083491461
SE,58920.85,350,342,151.07910256410256
SP,5228869.17,41746,40302,108.72412138980725
TO,49621.74,280,273,157.0308227848101
